Gwashington	fvRxEp2u	123.168.207.175	13:8D:9B:86:32:31
Jadams	QCeR2ys4	235.119.177.153	6F:F7:4E:EE:E3:12
Tjefferson	ejaNqg3T	158.138.148.91	22:40:55:6D:48:F4
Jmadison	uCMuXa7e	190.156.129.163	8D:08:EE:3B:1D:2E
Jmonroe	4SA4UwsX	87.204.123.190	51:33:5D:F3:95:21
JQAdams	PRG74nmb	165.111.152.5	EE:B7:3A:74:D3:DB
Ajackson	XtnyCXK3	99.167.52.163	92:8E:0E:73:3E:E0
MVBuren	c3ExaY3A	125.56.181.194	D1:12:BD:05:CF:27
WHHarrison	fvU4epvh	116.87.10.173	B1:80:36:A6:49:EC
Jtyler	6sZ2fU3d	140.107.56.110	64:17:6C:44:B3:94
JKPolk	Wwd84g5Y	27.97.122.153	3E:30:19:1D:8E:A5
Ztaylor	ckLMMG3R	33.205.68.9		36:C1:C7:9F:D2:F9
MFillmore	9abHdKre	15.240.41.2		9C:21:72:A1:5B:7D
FPierce	QTEbzSN9	206.138.7.140	F4:E3:15:2B:C3:8A
JBuchanan	HRnJ9af7	183.187.183.186	AE:29:F1:44:DC:62
ALincoln	dEJr3sAB	43.68.46.109	DF:E8:6E:5E:15:F6
AJohnson	UfcF8fYG	218.255.125.51	25:0E:18:78:F6:51
UGrant	h4bp2S9Z	17.128.227.144	53:77:E2:91:A5:08
RBHayes	UrawHj4w	43.16.230.249	A0:4C:1D:7F:49:28
JAGarfield	wQDsf9ag	110.175.151.70	A6:DF:5F:68:67:DC
CArthur	6cCCr2cd	160.101.129.15	AD:53:D6:DE:91:FB
Gcleveland	t68RDtAB	233.184.224.238	97:FF:BB:7F:73:19
BHarrison	9VAxpaTC	100.216.199.143	E9:47:84:2B:6D:91
GCleveland	NQy99Nud	169.252.4.166	A0:61:3E:36:CA:E4
WMcKinley	PrW3xyeH	13.17.115.40	19:C7:77:95:4E:DC
TRoosevelt	XF5UdVDf	212.98.105.206	9E:1F:9A:96:A4:79
WTaft		xWZUs6Xx	248.125.142.10	42:1E:29:09:A1:31
WWilson	a8mvTNjZ	154.184.240.125	77:67:FB:3E:27:AC
WGHarding	69BWc6TW	9.121.1.244		34:05:87:81:83:E2
CCoolidge	9vUB9P3T	71.97.95.94		D3:36:4E:C1:E2:51
HHoover	ng23JQEt	13.236.76.100	7D:1A:A3:EA:26:DF
FDRoosevelt	tHc95kSC	177.54.37.228	41:07:E1:FD:40:CF
HTruman	5Xkt9bms	13.12.197.197	53:4F:B0:FD:FA:FB
DEisenhower	S9xbNu7P	111.220.115.248	64:33:13:0E:02:D4
JFKennedy	dnK4tQJt	246.34.143.18	58:BA:EA:D6:CE:C1
LBJohnson	gpKRxY6e	24.186.216.149	96:FE:72:A3:EB:E1
RNixon	g6HcMxjr	10.60.223.66	3C:4A:A0:E8:B7:05
GFord		uYsxKd3F	13.121.219.198	64:83:B6:9A:5A:8B
JCarter	x25KkS3g	12.160.247.233	9A:81:71:8C:DF:49
RReagan	XV3KRv9T	76.58.87.203	86:18:CB:F9:E6:4C
GHWBush	53H5rUL5	158.157.207.30	CE:9F:F4:B8:18:B1
BClinton	Fg2kpYTr	184.116.75.239	87:35:F0:92:4E:FC
GWBush	hya9JF6s	217.226.77.177	A1:A0:5F:3C:1D:71
BObama	M6XreZke	113.15.6.173	6D:56:EC:40:1E:67
DTrump	hyeef6s	112.2.3.111		7B:46:ED:33:1F:88	
