Zopissa	    XOOPWMZA1N13	164.246.201.78	A6:96:70:A1:AC:BD				
Aardwolf33	    HV73DXSVXEGI	38.80.168.104	FA:ED:EB:DD:F9:12				
Luminous23	    DKOMLAIDK4QG	147.164.209.198	C9:3D:84:3F:16:C2				
FirstapYomp	    N1HRF2GAQN1V	33.200.201.12	A1:E7:5F:4F:0F:92				
Simplicity	    UJFOPC6H1PBV	111.214.237.73	27:F0:66:4F:4A:30				
Catadioptric    O442OHRODGXW	201.80.221.196	85:65:4D:85:3E:F1				
Dactyloid	    IOEXTGKCIJD7	243.8.143.143	E8:2C:4B:C1:62:0A				
BeccadRevers    IYJ2NMKZBRBF	78.96.56.79		DB:16:D2:E9:AD:3A				
Glissade	    CCMDBQZZ599L	20.242.221.238	BE:8A:DA:CC:D8:1F				
ColousZonoid    8P81DN2O2DTM	159.45.169.22	BE:80:81:CD:9E:38				
Luminous444	    GROZPRM6WMHF	162.68.91.177	60:73:42:32:77:F4				
Sarcology	    ZOG1Z5YE8FBQ	186.65.80.117	ED:5B:06:0D:DB:E7				
Aesthesia	    6ASTJZCIM1HC	253.75.210.244	87:A4:5A:8D:86:B9				
Thereoid	    2O8ZFPFGIWK1	255.157.68.156	E6:6C:52:CF:B1:58				
MarsjamBrehon   UCAHF9KMLAJV	138.110.132.247	11:18:DC:B6:F2:D4				
Volitive	    LWSRYVU7HF8A	103.117.126.150	26:95:C3:44:48:41				
Feuilleton	    50JW9UAVFB2I	81.219.210.48	4F:C8:11:48:A0:2D				
Celation	    16B6LX0XP917	124.221.23.23	9E:69:41:02:BD:8E				
Aardwolf11	    MKR7LVPJEROG	21.247.0.27		26:F2:19:E3:39:06				
Shabangww	    HWF20SG1WOMK	37.183.107.176	7B:B0:F1:5A:2E:F8				
Radiant	    7OV1X1V5K147	252.153.1.147	98:81:E7:BC:D0:23				
Synarchy	    MO6OWT64V80Q	0.142.26.63		71:83:F7:C9:55:A0				
Doctiloquent    PYBC3OV74L6F	55.252.39.128	AF:31:F9:61:EE:93				
Cursorial	    0ICPDTDS14MX	214.161.187.57	00:55:93:C6:09:67				
Koinevord11	    AQZPOSDBXX7P	93.36.98.170	61:66:E3:7C:D2:D2				
Febricity	    DYOJCPKQKIB6	43.21.79.130	CC:57:30:37:46:7A				
Eremology	    OXU7P18L3H9S	30.122.36.88	BF:AE:7F:F8:FB:BF				
Pathopoeia	    7U1FITKBUORD	50.167.201.221	9B:70:25:05:03:8E				
Vulnerose	    QEAZ3ZHQZQL7	192.32.172.63	11:F5:67:83:AC:32				
Durerafft3d	    WAK93KMGG9N8	155.165.254.56	F6:75:E0:AF:7E:62				
Luminous100	    H0DD64LJ4FEE	253.43.99.129	16:8D:55:47:F8:73				
Glacistonn	    1LVDQK2ABRDW	62.4.242.25		FE:05:28:B0:42:CD				
Pimentypaz	    Y7I1LMR5FVOG	0.68.85.74		97:0D:55:BF:52:60				
Verdinlux_90    R8NG5ND81LY2	183.244.67.64	6F:08:10:93:8D:D0				
Albionheil	    KHEI1DIMBDEV	18.196.224.189	E7:6A:41:00:B6:B0				
